metric,value
total_runs,37
successful_runs,16
failed_runs,21
policy_blocks,21
runtime_failures,0
success_rate,0.4324
failure_rate,0.5676
average_latency_seconds,0.012947
total_cost_usd,0.02406624
average_cost_per_run_usd,0.00065044
hitl_approvals,5
hitl_rejections,5
tool.draft_email,10
tool.send_email,10
tool.analyze_data_safely,6
tool.summarize_tickets,5
tool.lookup_internal_hr_data,5
tool.analyze_account_risk,2
tool.summarize_pipeline,2
tool.list_open_opportunities,2
tool.lookup_internal_financial_data,2
failure.policy.restricted_internal_data,14
failure.policy.hitl_rejected,5
failure.policy.import of 'os' is not allowed,2
